path,class_name,fold
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1032.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1033.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1034.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1035.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1036.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1037.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1038.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1039.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs104.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1040.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1041.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1042.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1043.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1044.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1045.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1046.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1047.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1048.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1049.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs105.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1050.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1051.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1052.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1053.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1054.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1055.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1056.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1057.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1058.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1059.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs106.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1060.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1061.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1062.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1063.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1064.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1065.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1066.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1067.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1068.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1069.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs107.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1070.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1071.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1072.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1073.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1074.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1075.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1076.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1077.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1078.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1079.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs108.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1080.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1081.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1082.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1083.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1084.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1085.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1086.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1087.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1088.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1089.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs109.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1090.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1091.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1092.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1093.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1094.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1095.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1096.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1097.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1098.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1099.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs11.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs110.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1100.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1101.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1102.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1103.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1104.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1105.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1106.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1107.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1108.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1109.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs111.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1110.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1111.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1112.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1113.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1114.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1115.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1116.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1117.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1118.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1119.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs112.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1120.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1121.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1122.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1123.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1124.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1125.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1126.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1127.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1128.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1129.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs113.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1130.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1131.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1132.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1133.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1134.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1135.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1136.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1137.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1138.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1139.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs114.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1140.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1141.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1142.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1143.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1144.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1145.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1146.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1147.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1148.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1149.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs115.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1150.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1151.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1152.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1153.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1154.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1155.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1156.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1157.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1158.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1159.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs116.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1160.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1161.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1162.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1163.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1164.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1165.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1166.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1167.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1168.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1169.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs117.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1170.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1171.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1172.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1173.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1174.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1175.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1176.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1177.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1178.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1179.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs118.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1180.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1181.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1182.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1183.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1184.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1185.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1186.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1187.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1188.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1189.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs119.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1190.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1191.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1192.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1193.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1194.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1195.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1196.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1197.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1198.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1199.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs12.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs120.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1200.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1201.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1202.jpg,Bacterial_spot227,0
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1203.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1204.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1205.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1206.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1207.jpg,Bacterial_spot227,4
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1208.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1209.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs121.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1210.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1211.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1212.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1213.jpg,Bacterial_spot227,2
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1214.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1215.jpg,Bacterial_spot227,1
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1216.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1217.jpg,Bacterial_spot227,3
data/raw/Mendeley/plantvillage/Preprocessed data/Bacterial_spot227/Bs1218.jpg,Bacterial_spot227,0
